astro_sign,title,link,image,Theme,Style Number,Colour,Swing Tag Generation,Tush Tag Generation,Birthday,Release Date,Release Year,Retirement Date,Animal,Subtheme,Size
Sagittarius,Gale the Penguin (Medium),https://beaniepedia.com/beanies/beanie-boos/gale-the-penguin-medium/,https://beaniepedia.com/beanies/files/2020/01/galeboo.jpg,Beanie Boos,36449,N/A,4,C1,17 December,01/06/2019,2019,-,N/A,Christmas Winter,N/A
Sagittarius,Gale the Penguin,https://beaniepedia.com/beanies/beanie-boos/gale-the-penguin/,https://beaniepedia.com/beanies/files/2020/01/galeboo.jpg,Beanie Boos,36681,N/A,4,C1,17 December,01/06/2019,2019,-,N/A,Christmas Winter,N/A
Sagittarius,Fudge the Reindeer,https://beaniepedia.com/beanies/beanie-boos/fudge-the-reindeer/,https://beaniepedia.com/beanies/files/2020/01/fudgeboo.jpg,Beanie Boos,N/A,Brown,4,C1,13 December,01/06/2019,2019,-,N/A,Christmas Winter,N/A
Sagittarius,Flurry the Snowman (Large),https://beaniepedia.com/beanies/beanie-boos/flurry-the-snowman-large/,https://beaniepedia.com/beanies/files/2020/01/flurryboolarge.jpg,Beanie Boos,36298,White,4,C1,18 December,01/06/2019,2019,-,Snowman,Christmas Winter,N/A
Sagittarius,Flurry the Snowman,https://beaniepedia.com/beanies/beanie-boos/flurry-the-snowman/,https://beaniepedia.com/beanies/files/2020/01/flurryboo.jpg,Beanie Boos,36682,White,4,C1,18 December,01/06/2019,2019,-,Snowman,Christmas Winter,N/A
Pisces,Emerald the Dog,https://beaniepedia.com/beanies/beanie-boos/emerald-the-dog/,https://beaniepedia.com/beanies/files/2020/01/emeraldboo.jpg,Beanie Boos,36318,Green,4,C1,17 March,01/12/2019,2019,-,Dog,St. Patrick's Day,N/A
ERROR,Ellie the Wolf (Medium),https://beaniepedia.com/beanies/beanie-boos/ellie-the-wolf-medium/,https://beaniepedia.com/beanies/files/2020/01/elliewolfboo.jpg,Beanie Boos,N/A,Grey,4,C1,None,01/01/2020,2020,-,Wolf,Great Wolf Lodge,N/A
ERROR,Ellie the Wolf,https://beaniepedia.com/beanies/beanie-boos/ellie-the-wolf/,https://beaniepedia.com/beanies/files/2020/01/elliewolfboo.jpg,Beanie Boos,N/A,Grey,4,C1,None,01/01/2020,2020,-,Wolf,Great Wolf Lodge,N/A
Libra,Edgar the Cat,https://beaniepedia.com/beanies/beanie-boos/edgar-the-cat/,https://beaniepedia.com/beanies/files/2020/01/edgarboo.jpg,Beanie Boos,36680,N/A,4,C1,06 October,01/06/2019,2019,-,Cat,Halloween,N/A
Aquarius,Darling the Unicorn (Medium),https://beaniepedia.com/beanies/beanie-boos/darling-the-unicorn-medium/,https://beaniepedia.com/beanies/files/2020/01/darlinguniboo.jpg,Beanie Boos,34101,Pink,4,C1,03 February,01/01/2020,2020,-,Unicorn,Valentine's Day,N/A
Aquarius,Darling the Unicorn,https://beaniepedia.com/beanies/beanie-boos/darling-the-unicorn/,https://beaniepedia.com/beanies/files/2020/01/darlinguniboo.jpg,Beanie Boos,36685,Pink,4,C1,03 February,01/01/2020,2020,-,Unicorn,Valentine's Day,N/A
Taurus,Slippers the Rabbit,https://beaniepedia.com/beanies/beanie-boos/slippers-the-rabbit/,https://beaniepedia.com/beanies/files/2020/01/slippersboo.jpg,Beanie Boos,36315,White,4,C1,10 May,01/01/2020,2020,-,Rabbit,None,N/A
Aquarius,Dainty the Flamingo (Medium),https://beaniepedia.com/beanies/beanie-boos/dainty-the-flamingo-medium/,https://beaniepedia.com/beanies/files/2020/01/daintyboo.png,Beanie Boos,34106,Pink,4,C1,17 February,01/01/2020,2020,-,N/A,Valentine's Day,N/A
Aquarius,Dainty the Flamingo,https://beaniepedia.com/beanies/beanie-boos/dainty-the-flamingo/,https://beaniepedia.com/beanies/files/2020/01/daintyboo.png,Beanie Boos,36686,Pink,4,C1,17 February,01/01/2020,2020,-,N/A,Valentine's Day,N/A
Gemini,Bamboo the Panda &#8211; 2019 (Medium),https://beaniepedia.com/beanies/beanie-boos/bamboo-the-panda-2019-medium/,https://beaniepedia.com/beanies/files/2020/01/bamboo2019boo.jpg,Beanie Boos,36463,N/A,4,C1,07 June,01/06/2019,2019,-,N/A,None,N/A
Gemini,Bamboo the Panda &#8211; 2019,https://beaniepedia.com/beanies/beanie-boos/bamboo-the-panda-2019/,https://beaniepedia.com/beanies/files/2020/01/bamboo2019boo.jpg,Beanie Boos,36327,N/A,4,C1,07 June,01/06/2019,2019,-,N/A,None,N/A
Gemini,Avery the Ostrich (Large),https://beaniepedia.com/beanies/beanie-boos/avery-the-ostrich-large/,https://beaniepedia.com/beanies/files/2019/10/averyboo.jpg,Beanie Boos,36304,Pink,4,C1,21 May,01/10/2019,2019,-,N/A,None,N/A
Cancer,Aphrodite the Husky,https://beaniepedia.com/beanies/beanie-boos/aphrodite-the-husky/,https://beaniepedia.com/beanies/files/2020/01/aphroditeboo.jpg,Beanie Boos,N/A,Pink,4,C1,20 July,01/01/2020,2020,-,Dog,Valentine's Day,N/A
ERROR,Katy the Koala,https://beaniepedia.com/beanies/beanie-boos/katy-the-koala/,https://beaniepedia.com/beanies/files/2020/01/katyboo.jpg,Beanie Boos,N/A,N/A,4,C1,None,01/03/2020,2020,-,Koala,Charity,N/A
Virgo,Magic the Dragon,https://beaniepedia.com/beanies/beanie-babies/magic-the-dragon/,https://beaniepedia.com/beanies/files/2020/01/magic.jpg,Beanie Babies,4088,White,3 4,1 2 3 4 5,05 September 1995,03/06/1995,1995,31/12/1997,Dragon,None,N/A
Aries,Pecan the Bear,https://beaniepedia.com/beanies/beanie-babies/pecan-the-bear/,https://beaniepedia.com/beanies/files/2020/01/pecan.jpg,Beanie Babies,4251,Brown,5,7 8,15 April 1999,26/04/1999,1999,23/12/1999,Bear,None,N/A
Aries,Daffodil the Lamb (Medium),https://beaniepedia.com/beanies/beanie-boos/daffodil-the-lamb-medium/,https://beaniepedia.com/beanies/files/2019/12/daffodilboo.jpg,Beanie Boos,37275,Rainbow,4,C1,15 April,01/10/2018,2018,-,Sheep,Spring Easter,N/A
Aquarius,Amaya the Cat,https://beaniepedia.com/beanies/beanie-boos/amaya-the-cat/,https://beaniepedia.com/beanies/files/2019/12/amayaboo.jpg,Beanie Boos,36331,Pink,4,C1,27 January,01/11/2019,2019,-,Cat,Claire's,N/A
Leo,Witchie the Cat (Medium),https://beaniepedia.com/beanies/beanie-boos/witchie-the-cat-medium/,https://beaniepedia.com/beanies/files/2019/10/witchieboo.jpg,Beanie Boos,36444,N/A,4,C1,30 July,01/06/2019,2019,-,Cat,Halloween,N/A
Leo,Witchie the Cat,https://beaniepedia.com/beanies/beanie-boos/witchie-the-cat/,https://beaniepedia.com/beanies/files/2019/10/witchieboo.jpg,Beanie Boos,36790,N/A,4,C1,30 July,01/06/2019,2019,-,Cat,Halloween,N/A
Gemini,Avery the Ostrich (Medium),https://beaniepedia.com/beanies/beanie-boos/avery-the-ostrich-medium/,https://beaniepedia.com/beanies/files/2019/10/averyboo.jpg,Beanie Boos,36469,Pink,4,C1,21 May,01/10/2019,2019,-,N/A,None,N/A
Gemini,Avery the Ostrich,https://beaniepedia.com/beanies/beanie-boos/avery-the-ostrich/,https://beaniepedia.com/beanies/files/2019/10/averyboo.jpg,Beanie Boos,36699,Pink,4,C1,21 May,01/10/2019,2019,-,N/A,None,N/A
Libra,Athena the Winged Unicorn (Key Clip),https://beaniepedia.com/beanies/beanie-boos/athena-the-winged-unicorn-key-clip/,https://beaniepedia.com/beanies/files/2019/10/athenabookey.jpg,Beanie Boos,36553,Purple,4,C1,03 October,01/04/2018,2018,-,Unicorn,Claire's,N/A
Aries,Arielle the Unicorn,https://beaniepedia.com/beanies/beanie-boos/arielle-the-unicorn/,https://beaniepedia.com/beanies/files/2019/10/arielleboo.jpg,Beanie Boos,36330,Blue,4,C1,31 March,01/10/2019,2019,-,Unicorn,Claire's,N/A
Scorpio,Glitter the Pony,https://beaniepedia.com/beanies/beanie-boos/glitter-the-pony/,https://beaniepedia.com/beanies/files/2019/08/glitterboo.jpg,Beanie Boos,36679,N/A,4,C1,9 November,01/01/2019,2019,-,Horse,Cracker Barrel,N/A
Taurus,Giselle the Leopard (Key Clip),https://beaniepedia.com/beanies/beanie-boos/giselle-the-leopard-key-clip/,https://beaniepedia.com/beanies/files/2019/08/gisellebookey.jpg,Beanie Boos,38839,Rainbow,4,C1,12 May,01/01/2019,2019,-,N/A,None,N/A
Taurus,Giselle the Leopard (Medium),https://beaniepedia.com/beanies/beanie-boos/giselle-the-leopard-medium/,https://beaniepedia.com/beanies/files/2019/08/giselleboo.jpg,Beanie Boos,36453,Rainbow,4,C1,12 May,01/01/2019,2019,-,N/A,None,N/A
Scorpio,Gia the Giraffe (Key Clip),https://beaniepedia.com/beanies/beanie-boos/gia-the-giraffe-key-clip/,https://beaniepedia.com/beanies/files/2019/08/giabookey.jpg,Beanie Boos,35000,N/A,4,C1,09 November,01/10/2018,2018,-,Giraffe,Claire's,N/A
Scorpio,Gia the Giraffe (Large),https://beaniepedia.com/beanies/beanie-boos/gia-the-giraffe-large/,https://beaniepedia.com/beanies/files/2019/08/giaboo.jpg,Beanie Boos,36299,N/A,4,C1,09 November,01/10/2018,2018,-,Giraffe,Claire's,N/A
Scorpio,Gia the Giraffe (Medium),https://beaniepedia.com/beanies/beanie-boos/gia-the-giraffe-medium/,https://beaniepedia.com/beanies/files/2019/08/giaboo.jpg,Beanie Boos,34109,N/A,4,C1,09 November,01/10/2018,2018,-,Giraffe,Claire's,N/A
Leo,Fifi the Flamingo,https://beaniepedia.com/beanies/beanie-boos/fifi-the-flamingo/,https://beaniepedia.com/beanies/files/2019/08/fifiboo.jpg,Beanie Boos,36279,Purple,4,C1,30 July,01/01/2019,2019,-,N/A,Claire's,N/A
Aries,Enchanted the Owl (Key Clip),https://beaniepedia.com/beanies/beanie-boos/enchanted-the-owl-key-clip/,https://beaniepedia.com/beanies/files/2019/08/enchantedbookey.jpg,Beanie Boos,35224,Rainbow,4,C1,25 March,01/01/2019,2019,-,N/A,None,N/A
Virgo,Echo the Bat (Medium),https://beaniepedia.com/beanies/beanie-boos/echo-the-bat-medium/,https://beaniepedia.com/beanies/files/2019/08/echobatboo.jpg,Beanie Boos,36443,Bat,4,C1,06 September,01/06/2019,2019,-,Bat,Halloween,N/A
Virgo,Echo the Bat,https://beaniepedia.com/beanies/beanie-boos/echo-the-bat/,https://beaniepedia.com/beanies/files/2019/08/echobatboo.jpg,Beanie Boos,36276,N/A,4,C1,06 September,01/06/2019,2019,-,Bat,Halloween,N/A
Gemini,Dreamy the Sloth (Medium),https://beaniepedia.com/beanies/beanie-boos/dreamy-the-sloth-medium/,https://beaniepedia.com/beanies/files/2019/08/dreamyboo.jpg,Beanie Boos,36287,N/A,4,C1,03 June,01/01/2019,2019,-,Sloth,None,N/A
Gemini,Dreamy the Sloth,https://beaniepedia.com/beanies/beanie-boos/dreamy-the-sloth/,https://beaniepedia.com/beanies/files/2019/08/dreamyboo.jpg,Beanie Boos,36287,N/A,4,C1,03 June,01/12/2018,2018,-,Sloth,None,N/A
Gemini,Cooper the Unicorn Sloth (Medium),https://beaniepedia.com/beanies/beanie-boos/cooper-the-unicorn-sloth-medium/,https://beaniepedia.com/beanies/wp-content/blogs.dir/2/files/a2326481a36dd05fb78b5d1a9993a51e.jpg,Beanie Boos,36459,Rainbow,4,C1,20 June,01/06/2019,2019,-,N/A,None,N/A
Gemini,Cooper the Unicorn Sloth,https://beaniepedia.com/beanies/beanie-boos/cooper-the-unicorn-sloth/,https://beaniepedia.com/beanies/wp-content/blogs.dir/2/files/a2326481a36dd05fb78b5d1a9993a51e.jpg,Beanie Boos,36323,Rainbow,4,C1,20 June,01/06/2019,2019,-,N/A,None,N/A
Libra,Cobb the Spider,https://beaniepedia.com/beanies/beanie-boos/cobb-the-spider/,https://beaniepedia.com/beanies/files/2019/08/cobbboo-1.jpg,Beanie Boos,36278,N/A,4,C1,25 September,01/06/2019,2019,-,Spider,Halloween,N/A
Pisces,Chewey the Chihuahua (Medium),https://beaniepedia.com/beanies/beanie-boos/chewey-the-chihuahua-medium/,https://beaniepedia.com/beanies/wp-content/blogs.dir/2/files/1ec53524c6e0ea3f3d9cf7f7cc1e1ee8.jpg,Beanie Boos,36460,N/A,4,C1,07 March,01/06/2019,2019,-,Dog,None,N/A
Pisces,Chewey the Chihuahua,https://beaniepedia.com/beanies/beanie-boos/chewey-the-chihuahua/,https://beaniepedia.com/beanies/wp-content/blogs.dir/2/files/1ec53524c6e0ea3f3d9cf7f7cc1e1ee8.jpg,Beanie Boos,36324,N/A,4,C1,07 March,01/06/2019,2019,-,Dog,None,N/A
Capricorn,Cito the Dog,https://beaniepedia.com/beanies/beanie-babies/cito-the-dog/,https://beaniepedia.com/beanies/files/2019/06/cito-1.jpg,Beanie Babies,N/A,Brown,-,-,09 January,01/03/2018,2018,-,Dog,Charity,N/A
ERROR,Chloe the Cat,https://beaniepedia.com/beanies/beanie-babies/chloe-the-cat/,https://beaniepedia.com/beanies/files/2019/06/chloe.jpg,Beanie Babies,41171,Grey,19,C1,None,01/04/2016,2016,-,Cat,Movie The Secret Life of Pets,N/A
ERROR,Chicago Blackhawks the Bear,https://beaniepedia.com/beanies/beanie-babies/chicago-blackhawks-the-bear/,https://beaniepedia.com/beanies/files/2019/06/chicagoblackhawks.jpg,Beanie Babies,41726,Red,19,C1,None,01/10/2017,2017,-,Bear,Sports NHL,N/A
ERROR,Champion &#8211; Chicago Cubs the Bear,https://beaniepedia.com/beanies/beanie-babies/champion-chicago-cubs-the-bear/,https://beaniepedia.com/beanies/files/2019/06/champion.jpg,Beanie Babies,41728,Blue,19,C1,None,01/06/2017,2017,-,Bear,Sports Baseball,N/A
Pisces,Catcher the Dalmatian,https://beaniepedia.com/beanies/beanie-babies/catcher-the-dalmatian/,https://beaniepedia.com/beanies/files/2019/06/catcher.jpg,Beanie Babies,42303,N/A,19,C1,16 March,01/01/2019,2019,-,Dog,None,N/A
ERROR,Cat With Heart Eyes Emoji,https://beaniepedia.com/beanies/beanie-babies/cat-with-heart-eyes-emoji/,https://beaniepedia.com/beanies/files/2019/06/catemoji.jpg,Beanie Babies,42294,Yellow,19,C1,None,01/06/2017,2017,-,N/A,Emoji Movie,N/A
ERROR,Carl the Minion,https://beaniepedia.com/beanies/beanie-babies/carl-the-minion/,https://beaniepedia.com/beanies/files/2019/06/carlminion.jpg,Beanie Babies,41222,Yellow,19,C1,None,01/04/2017,2017,-,Minion,Despicable Me,N/A
ERROR,Captain America the Superhero,https://beaniepedia.com/beanies/beanie-babies/captain-america-the-superhero/,https://beaniepedia.com/beanies/files/2019/06/captainamerica.jpg,Beanie Babies,41189,Blue,C1,C1,None,01/07/2016,2016,-,Superhero,Marvel Avengers,N/A
ERROR,Buster Moon the Koala,https://beaniepedia.com/beanies/beanie-babies/buster-moon-the-koala/,https://beaniepedia.com/beanies/files/2019/06/bustermoon.jpg,Beanie Babies,41229,Grey,19,C1,None,01/05/2019,2019,-,Koala,Movie Sing,N/A
Taurus,Bunnie the Rabbit,https://beaniepedia.com/beanies/beanie-babies/bunnie-the-rabbit/,https://beaniepedia.com/beanies/files/2019/06/bunnie.jpg,Beanie Babies,41701,Brown,19,C1,08 May,01/12/2015,2015,-,Rabbit,Easter,N/A
ERROR,Bunga the Honey Badger,https://beaniepedia.com/beanies/beanie-babies/bunga-the-honey-badger/,https://beaniepedia.com/beanies/files/2019/06/bunga.jpg,Beanie Babies,41192,Grey,Disney Sparkle,C1,None,01/07/2016,2016,-,Honey Badger,The Lion Guard,N/A
ERROR,Buddy the Dog,https://beaniepedia.com/beanies/beanie-babies/buddy-the-dog/,https://beaniepedia.com/beanies/files/2019/06/buddy.jpg,Beanie Babies,41170,N/A,19,C1,None,01/04/2016,2016,-,Dog,Movie The Secret Life of Pets,N/A
Sagittarius,Buff the Dog,https://beaniepedia.com/beanies/beanie-babies/buff-the-dog/,https://beaniepedia.com/beanies/files/2019/06/buff.jpg,Beanie Babies,42183,N/A,19,-,28 November,01/01/2019,2019,-,Dog,None,N/A
ERROR,Boston Bruins the Bear,https://beaniepedia.com/beanies/beanie-babies/boston-bruins-the-bear/,https://beaniepedia.com/beanies/files/2019/06/bostonbruins.jpg,Beanie Babies,41734,Black,19,C1,None,01/01/2018,2018,-,Bear,Sports NHL,N/A
Leo,Bo the Gorilla,https://beaniepedia.com/beanies/beanie-babies/bo-the-gorilla/,https://beaniepedia.com/beanies/files/2019/06/bogorilla.jpg,Beanie Babies,42301,Black,19,-,30 July,01/01/2019,2019,-,Gorilla,None,N/A
ERROR,Beshte the Hippopotamus,https://beaniepedia.com/beanies/beanie-babies/beshte-the-hippopotamus/,https://beaniepedia.com/beanies/files/2019/06/beshte.jpg,Beanie Babies,41196,Grey,Disney Sparkle,C1,None,01/04/2017,2017,-,Hippopotamus,Disney The Lion Guard,N/A
Leo,Barks the Dog (Key Clip),https://beaniepedia.com/beanies/beanie-babies/barks-the-dog-key-clip/,https://beaniepedia.com/beanies/files/2019/06/barkskey.jpg,Beanie Babies,36657,N/A,20,-,27 July,01/01/2019,2019,-,Dog,None,N/A
Leo,Barks the Dog,https://beaniepedia.com/beanies/beanie-babies/barks-the-dog/,https://beaniepedia.com/beanies/files/2019/06/barks.jpg,Beanie Babies,41206,N/A,20,-,27 July,01/01/2019,2019,-,Dog,None,N/A
Gemini,Baboo the Panda (Key Clip),https://beaniepedia.com/beanies/beanie-babies/baboo-the-panda-key-clip/,https://beaniepedia.com/beanies/files/2019/06/babookey.jpg,Beanie Babies,36656,N/A,19,-,30 May,01/01/2019,2019,-,N/A,None,N/A
Gemini,Baboo the Panda,https://beaniepedia.com/beanies/beanie-babies/baboo-the-panda/,https://beaniepedia.com/beanies/files/2019/06/baboo.jpg,Beanie Babies,41204,N/A,19,-,30 May,01/01/2019,2019,-,N/A,None,N/A
Sagittarius,Ava the Cat,https://beaniepedia.com/beanies/beanie-babies/ava-the-cat/,https://beaniepedia.com/beanies/files/2019/06/ava.jpg,Beanie Babies,42185,N/A,19,-,15 December,01/01/2019,2019,-,Cat,None,N/A
ERROR,Ash the Hedgehog,https://beaniepedia.com/beanies/beanie-babies/ash-the-hedgehog/,https://beaniepedia.com/beanies/files/2019/06/ash.jpg,Beanie Babies,41230,Mixed,19,C1,None,01/04/2017,2017,-,Hedgehog,Sing,N/A
Sagittarius,Zuri the Monkey (Key Clip),https://beaniepedia.com/beanies/beanie-boos/zuri-the-monkey-key-clip/,https://beaniepedia.com/beanies/files/2019/06/zuribookey.jpg,Beanie Boos,36561,Purple,4,C1,30 November,01/05/2018,2018,-,Monkey,None,N/A
Sagittarius,Zuri the Monkey (Medium),https://beaniepedia.com/beanies/beanie-boos/zuri-the-monkey-medium/,https://beaniepedia.com/beanies/files/2019/06/zuriboo.jpg,Beanie Boos,36419,Purple,4,C1,30 November,01/04/2018,2018,-,Monkey,None,N/A
Sagittarius,Zuri the Monkey,https://beaniepedia.com/beanies/beanie-boos/zuri-the-monkey/,https://beaniepedia.com/beanies/files/2019/06/zuriboo.jpg,Beanie Boos,36845,Purple,4,C1,30 November,01/04/2018,2018,-,Monkey,None,N/A
ERROR,Zuma the Paw Patrol Dog (Key Clip),https://beaniepedia.com/beanies/beanie-boos/zuma-the-paw-patrol-dog-key-clip/,https://beaniepedia.com/beanies/files/2019/06/zumabookey.jpg,Beanie Boos,41280,Brown,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
ERROR,Zuma the Paw Patrol Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/zuma-the-paw-patrol-dog-medium/,https://beaniepedia.com/beanies/files/2019/06/zumaboo.jpg,Beanie Boos,96324,Brown,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
ERROR,Zuma the Paw Patrol Dog,https://beaniepedia.com/beanies/beanie-boos/zuma-the-paw-patrol-dog/,https://beaniepedia.com/beanies/files/2019/06/zumaboo.jpg,Beanie Boos,41213,Brown,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
Virgo,Yumi the Panda,https://beaniepedia.com/beanies/beanie-boos/yumi-the-panda/,https://beaniepedia.com/beanies/files/2019/06/yumiboo.jpg,Beanie Boos,37219,N/A,4,C1,23 August,01/10/2016,2016,-,N/A,Justice Stores,N/A
Virgo,Wynnie the Macaw,https://beaniepedia.com/beanies/beanie-boos/wynnie-the-macaw/,https://beaniepedia.com/beanies/files/2019/06/wynnieboo.jpg,Beanie Boos,36885,Blue,4,C1,19 September,01/10/2017,2017,-,N/A,None,N/A
Taurus,Wilma the Platypus,https://beaniepedia.com/beanies/beanie-boos/wilma-the-platypus/,https://beaniepedia.com/beanies/files/2019/06/wilmaboo.jpg,Beanie Boos,36217,Pink,4,C1,25 April,01/02/2019,2019,-,Platypus,None,N/A
Cancer,Yago the Owl (Key Clip),https://beaniepedia.com/beanies/beanie-boos/yago-the-owl-key-clip/,https://beaniepedia.com/beanies/files/2019/06/yagobookey.jpg,Beanie Boos,35212,Blue,4,C1,27 June,01/01/2019,2019,-,N/A,None,N/A
Cancer,Yago the Owl (Medium),https://beaniepedia.com/beanies/beanie-boos/yago-the-owl-medium/,https://beaniepedia.com/beanies/files/2019/06/yagoboo.jpg,Beanie Boos,37267,Blue,4,C1,27 June,01/01/2019,2019,-,N/A,None,N/A
Cancer,Yago the Owl,https://beaniepedia.com/beanies/beanie-boos/yago-the-owl/,https://beaniepedia.com/beanies/files/2019/06/yagoboo.jpg,Beanie Boos,36896,Blue,4,C1,27 June,01/01/2019,2019,01/01/2019,N/A,None,N/A
Taurus,Wasabi the Baboon (Key Clip),https://beaniepedia.com/beanies/beanie-boos/wasabi-the-baboon-key-clip/,https://beaniepedia.com/beanies/files/2019/06/wasabibookey.jpg,Beanie Boos,36563,Grey,4,C1,18 May,01/05/2018,2018,-,Baboon,None,N/A
Taurus,Wasabi the Baboon (Medium),https://beaniepedia.com/beanies/beanie-boos/wasabi-the-baboon-medium/,https://beaniepedia.com/beanies/files/2019/06/wasabiboo.jpg,Beanie Boos,36421,Grey,4,C1,18 May,01/04/2018,2018,-,Baboon,None,N/A
